日期,AQI指数,PM2.5	,PM10,So2,No2,Co,O3
"
                                        2014-01-01",103.0,83.0,138.0,32.0,71.0,1.06,37.0
"
                                        2014-01-02",140.0,111.0,184.0,40.0,93.0,1.48,23.0
"
                                        2014-01-03",166.0,126.0,197.0,52.0,91.0,1.53,32.0
"
                                        2014-01-04",211.0,165.0,254.0,78.0,80.0,1.71,20.0
"
                                        2014-01-05",251.0,202.0,274.0,50.0,89.0,2.01,19.0
"
                                        2014-01-06",183.0,142.0,187.0,48.0,79.0,1.5,24.0
"
                                        2014-01-07",147.0,112.0,138.0,32.0,79.0,1.68,13.0
"
                                        2014-01-08",56.0,37.0,33.0,18.0,46.0,1.05,22.0
"
                                        2014-01-09",65.0,45.0,69.0,30.0,39.0,0.66,29.0
"
                                        2014-01-10",96.0,72.0,113.0,42.0,55.0,0.78,27.0
"
                                        2014-01-11",82.0,60.0,71.0,24.0,54.0,0.79,17.0
"
                                        2014-01-12",74.0,54.0,46.0,22.0,51.0,0.93,14.0
"
                                        2014-01-13",130.0,99.0,118.0,41.0,58.0,1.12,15.0
"
                                        2014-01-14",91.0,67.0,92.0,40.0,63.0,0.92,23.0
"
                                        2014-01-15",103.0,77.0,106.0,33.0,64.0,1.03,26.0
"
                                        2014-01-16",114.0,86.0,127.0,33.0,71.0,1.09,26.0
"
                                        2014-01-17",161.0,122.0,169.0,34.0,83.0,1.31,23.0
"
                                        2014-01-18",267.0,216.0,248.0,49.0,58.0,1.45,39.0
"
                                        2014-01-19",254.0,204.0,248.0,35.0,69.0,1.62,29.0
"
                                        2014-01-20",156.0,101.0,192.0,31.0,58.0,1.1,32.0
"
                                        2014-01-21",88.0,45.0,125.0,36.0,49.0,0.78,28.0
"
                                        2014-01-22",85.0,62.0,98.0,35.0,60.0,0.91,24.0
"
                                        2014-01-24",73.0,50.0,78.0,16.0,57.0,0.79,34.0
"
                                        2014-01-25",176.0,141.0,179.0,33.0,59.0,1.31,41.0
"
                                        2014-01-26",88.0,60.0,70.0,20.0,27.0,0.67,53.0
"
                                        2014-01-27",50.0,32.0,55.0,14.0,37.0,0.58,34.0
